account_id,customer_id,account_type,date_opened,current_balance
A0001,C0001,Personal Checking,2022-05-08,7697
A0002,C0002,Personal Checking,2021-08-13,11150
A0003,C0003,Personal Checking,2013-05-17,15182
A0004,C0004,Personal Checking,2014-01-19,5286
A0005,C0005,Personal Checking,2019-01-27,4741
A0006,C0006,Personal Checking,2017-11-13,37909
A0007,C0007,Personal Checking,2022-04-03,32534
A0008,C0008,Personal Checking,2020-12-27,41348
A0009,C0009,Personal Checking,2014-04-24,14721
A0010,C0010,Personal Checking,2022-05-23,7271
A0011,C0011,Personal Checking,2016-09-09,40465
A0012,C0012,Personal Checking,2020-03-08,2615
A0013,C0013,Personal Checking,2012-11-08,16507
A0014,C0014,Personal Checking,2013-05-02,33211
A0015,C0015,Personal Checking,2016-02-25,42745
A0016,C0016,Personal Checking,2017-01-15,28504
A0017,C0017,Personal Checking,2020-08-17,24507
A0018,C0018,Personal Checking,2019-09-14,5419
A0019,C0019,Personal Checking,2014-12-22,4905
A0020,C0020,Personal Checking,2016-06-15,26048
A0021,C0021,Personal Checking,2024-02-09,42267
A0022,C0022,Personal Checking,2011-05-16,2535
A0023,C0023,Personal Checking,2017-09-25,35992
A0024,C0024,Personal Checking,2021-01-25,29386
A0025,C0025,Personal Checking,2023-09-26,7365
A0026,C0026,Personal Checking,2012-10-02,28362
A0027,C0027,Personal Checking,2016-05-13,25569
A0028,C0028,Personal Checking,2017-07-18,7418
A0029,C0029,Personal Checking,2019-09-17,25194
A0030,C0030,Personal Checking,2024-12-03,43506
A0031,C0031,Personal Checking,2015-12-26,14252
A0032,C0032,Personal Checking,2019-09-04,26042
A0033,C0033,Personal Checking,2021-01-02,12353
A0034,C0034,Personal Checking,2023-03-08,41387
A0035,C0035,Personal Checking,2022-05-24,19824
A0036,C0036,Personal Checking,2024-12-24,17608
A0037,C0037,Personal Checking,2023-03-04,14984
A0038,C0038,Personal Checking,2024-03-06,3848
A0039,C0039,Personal Checking,2022-07-06,37784
A0040,C0040,Personal Checking,2015-08-15,6039
A0041,C0041,Business Checking,2015-06-01,38000
A0042,C0042,Business Checking,2013-03-01,91000
A0043,C0043,Personal Checking,2009-09-01,12000
A0043S,C0043,Personal Savings,2009-09-01,61000
A0044,C0044,Personal Checking,2026-04-10,15000
A9001,C9001,Personal Checking,2025-11-03,3200
A9100,C9100,Business Checking,2026-03-20,22000
A9101,C9101,Personal Checking,2026-04-15,1752
A9102,C9102,Personal Checking,2026-04-15,2266
A9103,C9103,Personal Checking,2026-04-15,1489
A9104,C9104,Personal Checking,2026-04-15,731
