alert_id,date_generated,account_id,customer_id,rule_code,rule_description,system_score,status,case_id,triage_recommendation,triage_rationale
AL0001,2026-05-29,A0041,C0041,STRUCT-CASH,Repeated cash deposits below reporting threshold,71,New,,,
AL0002,2026-05-03,A0005,C0005,STRUCT-CASH,"Single cash deposit just under $10,000 threshold",58,New,,,
AL0003,2026-06-27,A0042,C0042,VELOCITY,High count of outbound transfers in 30 days,63,New,,,
AL0004,2026-06-21,A0043,C0043,RAPID-MOVE,Large transfer with rapid follow-on movement,66,New,,,
AL0005,2026-05-31,A0044,C0044,HIGH-RISK-WIRE,Large inbound wire on newly opened account,74,New,,,
AL0006,2026-04-22,A0023,C0023,RAPID-MOVE,Funds in and out within 72 hours,49,New,,,
AL0007,2026-05-08,A0036,C0036,HIGH-RISK-WIRE,Wire to/from monitored region,57,New,,,
AL0008,2026-04-17,A0007,C0007,STRUCT-CASH,Cash activity near reporting threshold,55,New,,,
AL0009,2026-06-27,A0017,C0017,HIGH-RISK-WIRE,Wire to/from monitored region,57,New,,,
AL0010,2026-04-29,A0022,C0022,VELOCITY,Elevated transaction count vs 90-day baseline,52,New,,,
AL0011,2026-05-10,A0023,C0023,HIGH-RISK-WIRE,Wire to/from monitored region,57,New,,,
AL0012,2026-05-18,A0027,C0027,RAPID-MOVE,Funds in and out within 72 hours,49,New,,,
AL0013,2026-05-30,A0017,C0017,RAPID-MOVE,Funds in and out within 72 hours,49,New,,,
AL0014,2026-04-07,A0008,C0008,STRUCT-CASH,Cash activity near reporting threshold,55,New,,,
AL0015,2026-05-31,A0038,C0038,VELOCITY,Elevated transaction count vs 90-day baseline,52,New,,,
AL0016,2026-06-27,A0013,C0013,VELOCITY,Elevated transaction count vs 90-day baseline,52,New,,,
AL0017,2026-05-23,A0025,C0025,RAPID-MOVE,Funds in and out within 72 hours,49,New,,,
AL0018,2026-04-18,A0004,C0004,HIGH-RISK-WIRE,Wire to/from monitored region,57,New,,,
AL0019,2026-05-23,A0013,C0013,RAPID-MOVE,Funds in and out within 72 hours,49,New,,,
AL0020,2026-04-19,A0037,C0037,STRUCT-CASH,Cash activity near reporting threshold,55,New,,,
AL0021,2026-04-11,A0021,C0021,HIGH-RISK-WIRE,Wire to/from monitored region,57,New,,,
AL0022,2026-06-20,A0032,C0032,RAPID-MOVE,Funds in and out within 72 hours,49,New,,,
AL0023,2026-06-21,A0012,C0012,RAPID-MOVE,Funds in and out within 72 hours,49,New,,,
AL0024,2026-05-28,A0004,C0004,VELOCITY,Elevated transaction count vs 90-day baseline,52,New,,,
AL0025,2026-04-22,A0018,C0018,HIGH-RISK-WIRE,Wire to/from monitored region,57,New,,,
AL0026,2026-06-02,A0037,C0037,HIGH-RISK-WIRE,Wire to/from monitored region,57,New,,,
AL0027,2026-06-18,A0006,C0006,HIGH-RISK-WIRE,Wire to/from monitored region,57,New,,,
AL0028,2026-05-22,A0028,C0028,STRUCT-CASH,Cash activity near reporting threshold,55,New,,,
AL0029,2026-05-20,A0028,C0028,STRUCT-CASH,Cash activity near reporting threshold,55,New,,,
AL0030,2026-06-08,A0001,C0001,VELOCITY,Elevated transaction count vs 90-day baseline,52,New,,,
AL0031,2026-04-02,A0013,C0013,RAPID-MOVE,Funds in and out within 72 hours,49,New,,,
AL0032,2026-04-03,A0021,C0021,HIGH-RISK-WIRE,Wire to/from monitored region,57,New,,,
AL0033,2026-04-29,A0001,C0001,HIGH-RISK-WIRE,Wire to/from monitored region,57,New,,,
AL0034,2026-04-17,A0023,C0023,RAPID-MOVE,Funds in and out within 72 hours,49,New,,,
AL0035,2026-06-04,A0007,C0007,STRUCT-CASH,Cash activity near reporting threshold,55,New,,,
AL0036,2026-04-22,A0038,C0038,RAPID-MOVE,Funds in and out within 72 hours,49,New,,,
AL0037,2026-05-09,A0005,C0005,VELOCITY,Elevated transaction count vs 90-day baseline,52,New,,,
AL0038,2026-06-06,A0019,C0019,STRUCT-CASH,Cash activity near reporting threshold,55,New,,,
AL0039,2026-05-26,A0039,C0039,RAPID-MOVE,Funds in and out within 72 hours,49,New,,,
AL0040,2026-06-02,A0009,C0009,RAPID-MOVE,Funds in and out within 72 hours,49,New,,,
AL0041,2026-04-22,A0023,C0023,HIGH-RISK-WIRE,Wire to/from monitored region,57,New,,,
AL0042,2026-04-30,A0026,C0026,VELOCITY,Elevated transaction count vs 90-day baseline,52,New,,,
AL0043,2026-04-28,A0015,C0015,HIGH-RISK-WIRE,Wire to/from monitored region,57,New,,,
AL0044,2026-04-16,A0002,C0002,HIGH-RISK-WIRE,Wire to/from monitored region,57,New,,,
AL0045,2026-05-19,A0024,C0024,VELOCITY,Elevated transaction count vs 90-day baseline,52,New,,,
AL0046,2026-06-16,A0017,C0017,VELOCITY,Elevated transaction count vs 90-day baseline,52,New,,,
AL0047,2026-06-23,A0004,C0004,VELOCITY,Elevated transaction count vs 90-day baseline,52,New,,,
AL0048,2026-06-28,A0002,C0002,VELOCITY,Elevated transaction count vs 90-day baseline,52,New,,,
AL0049,2026-05-27,A0008,C0008,STRUCT-CASH,Cash activity near reporting threshold,55,New,,,
AL0050,2026-06-10,A0025,C0025,VELOCITY,Elevated transaction count vs 90-day baseline,52,New,,,
AL0051,2026-06-29,A0017,C0017,STRUCT-CASH,Cash activity near reporting threshold,55,New,,,
AL0052,2026-06-28,A0010,C0010,HIGH-RISK-WIRE,Wire to/from monitored region,57,New,,,
AL0053,2026-05-24,A0001,C0001,RAPID-MOVE,Funds in and out within 72 hours,49,New,,,
AL0054,2026-06-19,A0007,C0007,RAPID-MOVE,Funds in and out within 72 hours,49,New,,,
AL0055,2026-05-24,A0039,C0039,HIGH-RISK-WIRE,Wire to/from monitored region,57,New,,,
AL0056,2026-05-07,A0007,C0007,VELOCITY,Elevated transaction count vs 90-day baseline,52,New,,,
