transaction_id,txn_date,from_account_id,to_account_id,external_party,external_country,amount,channel,description
T00001,2026-04-01,,A0001,EMPLOYER PAYROLL,,2115.38,ACH,Salary
T00002,2026-04-08,A0001,,Utility Co,,72,CARD,Everyday spend
T00003,2026-04-05,A0001,,Insurer,,278,CARD,Everyday spend
T00004,2026-04-05,A0001,,Grocery,,773,ACH,Everyday spend
T00005,2026-04-09,A0001,,Utility Co,,643,ACH,Everyday spend
T00006,2026-04-15,,A0001,EMPLOYER PAYROLL,,2115.38,ACH,Salary
T00007,2026-04-27,A0001,,Streaming,,472,ACH,Everyday spend
T00008,2026-04-18,A0001,,Utility Co,,260,ACH,Everyday spend
T00009,2026-04-29,,A0001,EMPLOYER PAYROLL,,2115.38,ACH,Salary
T00010,2026-05-06,A0001,,Streaming,,139,ACH,Everyday spend
T00011,2026-05-09,A0001,,Rent,,310,CARD,Everyday spend
T00012,2026-05-13,,A0001,EMPLOYER PAYROLL,,2115.38,ACH,Salary
T00013,2026-05-15,A0001,,Insurer,,427,CARD,Everyday spend
T00014,2026-05-18,A0001,,Insurer,,889,ACH,Everyday spend
T00015,2026-05-17,A0001,,Utility Co,,761,CARD,Everyday spend
T00016,2026-05-24,A0001,,Utility Co,,273,ACH,Everyday spend
T00017,2026-05-27,,A0001,EMPLOYER PAYROLL,,2115.38,ACH,Salary
T00018,2026-05-29,A0001,,Rent,,429,ACH,Everyday spend
T00019,2026-06-07,A0001,,Grocery,,894,ACH,Everyday spend
T00020,2026-06-10,,A0001,EMPLOYER PAYROLL,,2115.38,ACH,Salary
T00021,2026-06-16,A0001,,Utility Co,,254,ACH,Everyday spend
T00022,2026-06-20,A0001,,Insurer,,690,CARD,Everyday spend
T00023,2026-06-22,A0001,,Rent,,290,CARD,Everyday spend
T00024,2026-06-24,,A0001,EMPLOYER PAYROLL,,2115.38,ACH,Salary
T00025,2026-06-29,A0001,,Streaming,,695,CARD,Everyday spend
T00026,2026-06-25,A0001,,Streaming,,274,CARD,Everyday spend
T00027,2026-07-01,A0001,,Grocery,,314,CARD,Everyday spend
T00028,2026-04-01,,A0002,EMPLOYER PAYROLL,,3653.85,ACH,Salary
T00029,2026-04-13,A0002,,Insurer,,614,ACH,Everyday spend
T00030,2026-04-08,A0002,,Streaming,,637,ACH,Everyday spend
T00031,2026-04-15,,A0002,EMPLOYER PAYROLL,,3653.85,ACH,Salary
T00032,2026-04-18,A0002,,Utility Co,,561,ACH,Everyday spend
T00033,2026-04-16,A0002,,Grocery,,152,CARD,Everyday spend
T00034,2026-04-29,,A0002,EMPLOYER PAYROLL,,3653.85,ACH,Salary
T00035,2026-05-06,A0002,,Rent,,650,CARD,Everyday spend
T00036,2026-05-06,A0002,,Insurer,,650,ACH,Everyday spend
T00037,2026-05-04,A0002,,Utility Co,,606,CARD,Everyday spend
T00038,2026-05-10,A0002,,Streaming,,589,ACH,Everyday spend
T00039,2026-05-13,,A0002,EMPLOYER PAYROLL,,3653.85,ACH,Salary
T00040,2026-05-18,A0002,,Rent,,485,CARD,Everyday spend
T00041,2026-05-14,A0002,,Insurer,,779,ACH,Everyday spend
T00042,2026-05-27,,A0002,EMPLOYER PAYROLL,,3653.85,ACH,Salary
T00043,2026-06-05,A0002,,Insurer,,148,ACH,Everyday spend
T00044,2026-06-06,A0002,,Streaming,,243,CARD,Everyday spend
T00045,2026-06-10,,A0002,EMPLOYER PAYROLL,,3653.85,ACH,Salary
T00046,2026-06-19,A0002,,Insurer,,837,CARD,Everyday spend
T00047,2026-06-16,A0002,,Utility Co,,540,CARD,Everyday spend
